m,selected_stocks,weights,error_2019,error_2020
10,"['ATVI', 'AMD', 'GOOG', 'AMGN', 'ANSS', 'AMAT', 'FAST', 'IDXX', 'MRNA', 'PDD']","[array(0.99991), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.)]",1.2796871561639938e-05,6.870872332831531e-05
20,"['ATVI', 'GOOG', 'AMZN', 'AMGN', 'AMAT', 'AVGO', 'CTXS', 'CPRT', 'CSX', 'EA', 'FAST', 'JD', 'KHC', 'MELI', 'MRNA', 'NVDA', 'PAYX', 'PYPL', 'SWKS', 'TMUS']","[array(0.99977606), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(2.66479727e-05), array(0.), array(0.), array(0.), array(2.5287286e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.20007526e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.)]",4.3103374456326946e-05,0.00015239779523320337
30,"['ATVI', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ASML', 'CHKP', 'CTXS', 'CTSH', 'CSX', 'DXCM', 'FAST', 'IDXX', 'INTU', 'ISRG', 'KLAC', 'LRCX', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PAYX', 'PEP', 'SGEN', 'SNPS', 'TCOM', 'WBA']","[array(0.99959185), array(0.), array(0.), array(0.), array(0.), array(0.), array(2.72054438e-05), array(1.e-05), array(3.29667117e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(4.55783996e-05), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(9.67045633e-06), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.32727825e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(1.30178042e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(4.64406266e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.)]",1.0494733318516985e-05,0.00018531649121700168
