m,selected_stocks,weights,error_2019,error_2020
10,"['ATVI', 'AMD', 'GOOG', 'AMGN', 'ANSS', 'AMAT', 'FAST', 'IDXX', 'MRNA', 'PDD']","[array(0.99991), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.)]",1.2796871561639938e-05,6.870872332831531e-05
20,"['ATVI', 'GOOG', 'AMZN', 'AMGN', 'AMAT', 'AVGO', 'CTXS', 'CPRT', 'CSX', 'EA', 'FAST', 'JD', 'KHC', 'MELI', 'MRNA', 'NVDA', 'PAYX', 'PYPL', 'SWKS', 'TMUS']","[array(0.99977606), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(2.66479727e-05), array(0.), array(0.), array(0.), array(2.5287286e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.20007526e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.)]",4.3103374456326946e-05,0.00015239779523320337
