m,selected_stocks,weights,error_2019,error_2020
10,"['ATVI', 'AMD', 'GOOG', 'AMGN', 'ANSS', 'AMAT', 'FAST', 'IDXX', 'MRNA', 'PDD']","[array(0.99991), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.)]",1.2796871561639938e-05,6.870872332831531e-05
20,"['ATVI', 'GOOG', 'AMZN', 'AMGN', 'AMAT', 'AVGO', 'CTXS', 'CPRT', 'CSX', 'EA', 'FAST', 'JD', 'KHC', 'MELI', 'MRNA', 'NVDA', 'PAYX', 'PYPL', 'SWKS', 'TMUS']","[array(0.99977606), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(2.66479727e-05), array(0.), array(0.), array(0.), array(2.5287286e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.20007526e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.)]",4.3103374456326946e-05,0.00015239779523320337
30,"['ATVI', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ASML', 'CHKP', 'CTXS', 'CTSH', 'CSX', 'DXCM', 'FAST', 'IDXX', 'INTU', 'ISRG', 'KLAC', 'LRCX', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PAYX', 'PEP', 'SGEN', 'SNPS', 'TCOM', 'WBA']","[array(0.99959185), array(0.), array(0.), array(0.), array(0.), array(0.), array(2.72054438e-05), array(1.e-05), array(3.29667117e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(4.55783996e-05), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(9.67045633e-06), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.32727825e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(1.30178042e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(4.64406266e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.)]",1.0494733318516985e-05,0.00018531649121700168
40,"['ATVI', 'ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'AMAT', 'BIDU', 'CDNS', 'CTXS', 'CPRT', 'DXCM', 'EA', 'EXPE', 'FAST', 'IDXX', 'ILMN', 'INCY', 'INTU', 'JD', 'KLAC', 'LBTYA', 'MELI', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PCAR', 'PEP', 'PDD', 'REGN', 'ROST', 'SWKS', 'SNPS', 'TTWO', 'TXN', 'TCOM', 'WBA', 'WDAY']","[array(0.99933601), array(1.e-05), array(1.85191783e-05), array(0.), array(0.), array(0.), array(5.0237066e-05), array(1.e-05), array(5.98507836e-05), array(1.e-05), array(0.), array(0.), array(6.3032006e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.07006997e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.8100323e-05), array(0.), array(0.), array(2.57087868e-05), array(0.), array(0.), array(9.56489068e-06), array(0.), array(0.), array(0.), array(1.34074748e-05), array(0.), array(1.e-05), array(0.), array(3.34221778e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(1.29561291e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(9.11223601e-06), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(6.3342696e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.20395106e-05), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.04999364e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(2.35006041e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.)]",6.627117920567519e-05,0.0002355053702993209
50,"['ATVI', 'ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'BIDU', 'BMRN', 'AVGO', 'CDNS', 'CHKP', 'CTXS', 'CPRT', 'CSX', 'DXCM', 'EA', 'FAST', 'GILD', 'INCY', 'INTU', 'ISRG', 'JD', 'LRCX', 'LULU', 'MXIM', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'SWKS', 'SNPS', 'TTWO', 'TXN', 'TCOM', 'VRSK', 'XLNX']","[array(0.99909329), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(7.26405726e-05), array(1.e-05), array(7.99225524e-05), array(1.19220099e-05), array(1.e-05), array(0.), array(9.78630069e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.5299479e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(2.75241566e-05), array(0.), array(0.), array(2.36830725e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(8.27851578e-07), array(4.027052e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.14121258e-05), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(1.47011329e-05), array(0.0001024), array(0.), array(1.e-05), array(0.), array(0.), array(3.03233213e-05), array(1.79193095e-05), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05)]",7.179997188725069e-05,0.0003549192271346034
60,"['ATVI', 'ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'ASML', 'ADP', 'BIDU', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CDW', 'CERN', 'CHKP', 'CTXS', 'CPRT', 'CSX', 'DXCM', 'EBAY', 'EA', 'EXPE', 'FAST', 'IDXX', 'INCY', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'LBTYK', 'MAR', 'MXIM', 'MELI', 'MU', 'MSFT', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'TTWO', 'TXN', 'TCOM', 'VRSK', 'WBA', 'WDAY', 'XLNX']","[array(0.99880354), array(1.e-05), array(1.84227699e-05), array(0.), array(0.), array(0.), array(2.01383213e-05), array(8.66910047e-05), array(0.00012362), array(1.36260973e-05), array(1.e-05), array(0.), array(0.00010802), array(1.e-05), array(0.), array(1.e-05), array(1.15061513e-05), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(1.84785481e-05), array(1.e-05), array(1.e-05), array(0.), array(1.28900781e-05), array(0.), array(0.), array(2.66667875e-05), array(0.), array(0.), array(2.89015221e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(0.), array(5.15079733e-05), array(0.), array(0.), array(1.52830552e-05), array(0.), array(1.e-05), array(0.), array(3.1498096e-05), array(1.60845322e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.25989057e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.00011068), array(0.), array(1.2719258e-05), array(0.), array(0.), array(2.43119907e-05), array(1.36628422e-05), array(0.), array(1.e-05), array(1.e-05), array(2.36599169e-05), array(3.06544843e-05), array(2.18468866e-05), array(0.), array(1.35325721e-05), array(1.e-05), array(9.46202572e-06), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05)]",8.89725695338735e-05,0.0004671201617417821
